Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kleivebekken,"Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2006-08-23 00:00:00,"40 284,253","6 481 654,216"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Lygna - naturlig vandringshinder,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"42 402,159","6 484 743,829"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,"Kvislå, Rauskårbekken","Fylkesmannen i Vest-Agder, befart av E Vegge 2006",,,2006-08-23 00:00:00,"40 820,334","6 482 259,908"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Osestadbekken,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-05-04 00:00:00,"40 644,396","6 467 963,404"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk Lene Ø,Jøren O Ousdal 2004. Fiskeundersøkelser i forbindelse med ny vei.,,,2016-02-29 00:00:00,"40 487,974","6 470 355,416"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Auglandsbekken,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-05-04 00:00:00,"38 932,666","6 467 751,049"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk Lene N,Jøren O Ousdal 2004. Fiskeundersøkelser i forbindelse med ny vei.,,,2006-11-13 00:00:00,"40 153,617","6 470 640,408"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Epledalsbekken,"Gordon Gyland, Fylkesmannen i Vest-Agder 2007",,,2007-02-02 00:00:00,"32 566,689","6 463 449,801"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk Skråvika (Hovda),"Gordon Gyland, Fylkesmannen i Vest-Agder 2007",,,2007-02-02 00:00:00,"34 376,936","6 464 576,969"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Gitlevågbekken,"Gordon Gyland, Fylkesmannen i Vest-Agder 2007",,,2007-02-02 00:00:00,"34 982,454","6 465 855,285"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Austadbekken,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-05-04 00:00:00,"33 741,639","6 468 351,657"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bjørnevågbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2016-02-29 00:00:00,"27 476,543","6 466 087,375"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Lyngsvågbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"26 454,436","6 465 162,77"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Nordskog,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2016-02-29 00:00:00,"26 967,218","6 468 717,587"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Spindangerbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"25 280,735","6 468 157,039"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Reisvågbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"23 226,984","6 466 896,175"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sævikbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"21 848,353","6 468 739,643"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk S for Dragland,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"31 352,801","6 475 864,388"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Skurvåna,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-07-02 00:00:00,"30 958,452","6 476 725,995"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Egilstabekken,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"31 119,102","6 474 887,367"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk fra Bjerge,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2016-02-29 00:00:00,"31 569,06","6 473 511,99"
Liten vassføring,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk N for Dragland,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-05-04 00:00:00,"31 077,454","6 476 253,86"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Strupåna,"Alf Friestad, Fylkesmannen i Vest-Agder",,,2007-01-05 00:00:00,"18 563,335","6 479 535,035"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Drangeåna,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-05-04 00:00:00,"23 611,893","6 479 898,892"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Tosåsbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"19 903,744","6 478 854,028"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk ved Skoftevika,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"41 239,597","6 459 805,967"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sandebekken,"Roger Blindingsvolden, Fylkesmannen i Vest-Agder 2007",,,2007-05-04 00:00:00,"17 727,844","6 475 309,878"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Eitlandsbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"13 327,636","6 473 154,55"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Frestadbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"13 537,848","6 472 465,12"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Helvikbekken,"Alf Friestad, Fylkesmannen i Vest-Agder 2006",,,2007-01-05 00:00:00,"13 083,845","6 471 669,634"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Litleåna,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"31 018,321","6 492 707,091"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Slimestadbekken,"Kvinesdal JFF, Alf Magne Midtbø 2008",,,2008-08-26 00:00:00,"27 526,476","6 491 200,805"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Røydlandsbekken,"Kvinesdal JFF, Alf Magne Midtbø 2008",,,2016-03-01 00:00:00,"30 066,304","6 491 479,327"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Valleknuten,"Kvinesdal JFF, Alf Magne Midtbø 2008",,,2008-08-26 00:00:00,"27 937,003","6 491 467,545"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Nesbekken,"Fylkesmannen i Vest-Agder, Kviljo 1998, Kvinesdal JFF, A.M.Midtbø 2008",,,2008-08-26 00:00:00,"29 561,826","6 493 095,761"
Stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk ved Remesvik,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"39 193,833","6 462 313,197"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kolåsbekken,"Fylkesmannen i Vest-Agder, Kviljo 1998",,,2006-08-23 00:00:00,"29 825,508","6 494 939,351"
Foss (fisketrapp i Rafoss kraftverk),"april 12, 2016",oystein_aafk,"februar 27, 2024","Pål Alfred Larsen, Statsforvalteren i Agder",Kvina,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"30 264,446","6 497 348,581"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Ellebekken,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"10 777,354","6 478 207,447"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Barkelandsbekken,"Fylkesmannen i Vest-Agder, Kviljo 1998",,,2006-08-23 00:00:00,"19 870,805","6 488 875,297"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Fedaelva,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"20 944,54","6 489 207,368"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kleivebekken,"Kvinesdal JFF, Alf Magne Midtbø 2008",,,2016-03-01 00:00:00,"24 940,319","6 488 781,631"
Innsjø,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Selurelva,"Flekkefjord JFF, Alf Magne Midtbø 2008",,,2008-08-26 00:00:00,"12 819,14","6 493 707,421"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sidebekk N til Flikkabekken,"Flekkefjord JFF, Alf Magne Midtbø 2008",,,2008-08-26 00:00:00,"12 738,148","6 498 526,954"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvernebekken,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"65 471,732","6 456 864,606"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk fra Osnesvannet,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"64 474,455","6 456 378,017"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk i Bagstøvåg,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"58 030,177","6 451 854,117"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Kige,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"59 356,049","6 454 746,819"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Mønnesland,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"60 793,422","6 455 668,156"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Linadalsbekken,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"55 037,65","6 457 488,858"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Skjebstadbekken,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"52 683,184","6 457 711,113"
Stopper i Judetjønna,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Fiskebekk,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"51 473,725","6 459 065,062"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Vestre Skogsfjord,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"52 383,626","6 459 230,832"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk v/Frostestad,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"51 445,273","6 460 249,593"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Hegrestadbekken,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"50 542,734","6 460 700,632"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk ved Snig,"K. Bringsdal, E. Vegge 2011",,,2011-10-11 00:00:00,"44 572,627","6 461 291,939"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,"Bekk ved Snig, sidebekk S","K. Bringsdal, E. Vegge 2011",,,2016-02-29 00:00:00,"44 326,586","6 461 162,841"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kålbekk,"A. M. Hope, Birkenes kommune 2008",,,2011-12-28 00:00:00,"97 195,879","6 474 656,165"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sidebekk Knarrestadbekken,"A. M. Hope, Birkenes kommune 2008",,,2016-02-25 00:00:00,"97 659,419","6 475 629,656"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Buestadbekken,"A. M. Hope, Birkenes kommune 2008",,,2016-02-25 00:00:00,"97 088,702","6 475 890,351"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bjorvannsbekken,"A. M. Hope, Birkenes kommune 2008",,,2016-02-25 00:00:00,"99 598,255","6 479 874,322"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bøensbekken,"A. M. Hope, Birkenes kommune 2008",,,2011-12-28 00:00:00,"94 799,191","6 473 519,775"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Endepunkt Audna,Fylkesmannen i Vest-Agder,,,2016-02-29 00:00:00,"54 736,122","6 496 606,344"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sira,Fylkesmannen i Vest-Agder,,,2016-03-01 00:00:00,"−288,38","6 493 440,514"
,"august 25, 2016",,"august 25, 2016",,,,,,,"39 318,55","6 466 010,39"
,"august 25, 2016",,"august 25, 2016",,,Roger Blindingsvolden,,,2016-08-25 00:00:00,"39 318,55","6 466 010,39"
Vandringshinder naturlig,"august 26, 2016",,"august 26, 2016",,Sandebekken,Roger Blindingsvolden,,,2016-08-25 00:00:00,"17 374,593","6 475 858,615"
Naturlig vandringshinder,"august 26, 2016",,"august 26, 2016",,Sandebekken tilløp,Roger Blindingsvolden,,,2016-08-25 00:00:00,"17 351,123","6 475 691,349"
Naturlig vandringshiner,"august 26, 2016",,"august 26, 2016",,Bekk Oftefdal,Roger Blindingsvolden,,,2016-08-26 00:00:00,"39 486,841","6 472 132,471"
Naturlig vandringshinder,"oktober 10, 2016",,"oktober 10, 2016",,Åptafossen,R.Blindingsvolden,,,2016-10-10 00:00:00,"18 520,402","6 479 471,276"
Foss/Naturlig Oppgangshinder. De neste hundre meterne nedstrøms burde produsert fisk - uvisst om fisk går forbi jordene på Kvåvik.,"oktober 17, 2016",,"oktober 17, 2016",,Kvåvikbekken,T.Mossmann,,,2016-10-17 00:00:00,"31 801,833","6 470 629,385"
Foss,"november 4, 2016",,"november 4, 2016",,Sævelibekken,Tormod Haraldstad,,,2014,"126 228,958","6 487 566,245"
"Foss i ur, ikke farbar for anadrom fisk","november 4, 2016",,"november 4, 2016",,Langebekken,Tormod Haraldstad,,,2016-10-01 00:00:00,"102 802,719","6 471 172,038"
Fisketrapp ved Justvik senter medfører at sjøørret kan gå opp i Hemningsvannet,"mars 6, 2017",,"mars 6, 2017",,Justvikbekken,Trond Johanson,,,2017-03-06 00:00:00,"90 518,521","6 473 288,017"
Fisketrapp vSenteret åpner opp for fiskevandring opp i Hemningsvann,"mars 6, 2017",,"mars 6, 2017",,Justvikbekken,Trond Johanson,,,2017-03-06 00:00:00,"90 306,263","6 470 396,108"
Myr,"april 1, 2017",,"april 1, 2017",,Kaddelandsbekken,Sjøørretklubben,,,2017-04-01 00:00:00,"59 015,361","6 463 182,99"
,"april 1, 2017",,"april 1, 2017",,Smelandsbekken,Sjøørretklubben,,,2017-04-01 00:00:00,"59 790,953","6 467 739,496"
,"mai 8, 2017",,"mai 8, 2017",,,,,,,"114 180,085","6 475 927,754"
"Kvastadelva/Skrubbura, elfisket, stor kulp med ca15 m elv før foss ca12 m høy, noe fisk, dårlige gyteforhold.","september 15, 2017",,"september 15, 2017",,Skrubbura,Kjetil og Anton Flakke,,,2017-05-30 00:00:00,"146 806,06","6 508 941,297"
foss,"oktober 20, 2017",,"oktober 20, 2017",,Føssa,Lundeelva elveeierlag,,,,"75 829,608","6 463 943,866"
Høy bratt foss. Ca.10m,"november 19, 2017",,"november 19, 2017",,Bakkeelva,Anton Flakke,,,,"−19 538,614","6 694 596,394"
"Naturlig bratt fall få meter fra sjø, ikke sansynlig at fisken kan ta seg forbi. Ellers en fin liten bekk","desember 10, 2017",,"desember 10, 2017",,Kjøstveitbekken,Kjetil Flakke,,,2016,"102 573,505","6 469 264,069"
Bratt foss ca 50m fra sjø (annet bilde viser veikulvert mot sjø),"desember 10, 2017",,"desember 10, 2017",,Åltjønnbekken,Kjetil Flakke,,,2016-03-01 00:00:00,"147 246,506","6 508 728,736"
Foss. Uavklart om Sjøørret kommer opp. Fisk gyter oppstrøms. Stort potensialområde,"februar 9, 2018",,"februar 11, 2018",,Eftevågbekken,Bengt Daatland,,,2018-02-10 00:00:00,"97 816,566","6 464 219,257"
,"februar 26, 2018",,"februar 26, 2018",,Vådnebekken/Urdalsbekken,"K.Bringsdal, R. Steinsvåg, A.Aas",,,2018-02-26 00:00:00,"59 315,622","6 465 548,587"
,"februar 26, 2018",,"februar 26, 2018",,Røyslandsbekken,"K.Bringsdal, R. Steinsvåg, A.Aas",,,2018-02-26 00:00:00,"63 358,464","6 464 726,392"
,"februar 26, 2018",,"februar 26, 2018",,Dalansbekken,"K.Bringsdal, R.Steinsvåg, A.Aas",,,2018-02-26 00:00:00,"63 347,219","6 466 637,349"
,"februar 26, 2018",,"februar 26, 2018",,Skjeggestadbekken,"S.E.Gabrielsen, B.Skår",,,2017-01-01 00:00:00,"64 332,27","6 495 278,685"
Golfbekken,"februar 26, 2018",,"februar 26, 2018",,,"K.Bringsdal, A.Aas",,,,"52 841,025","6 458 275,194"
Bekken stiger i Bratt Terreng,"desember 10, 2018",,"desember 10, 2018",,Lauvik2,Knut Ståle Eriksen,,,2018-12-08 00:00:00,"−15 336,692","6 562 592,529"
"Bekken stiger i bratt terreng, inn i rør","desember 10, 2018",,"desember 10, 2018",,Nothagen,Knut Ståle Eriksen,,,2018-12-08 00:00:00,"−19 166,543","6 566 391,953"
"Mulig vandringshinder ved gammel mølle, Kan utbedres med enkle terksler, og mindre hinder 20 m lenger opp, og terksling mulig tiltak","desember 10, 2018",,"desember 10, 2018",,Ersvikbekken,Knut Ståle Eriksen,,,2018-12-08 00:00:00,"−18 660,031","6 566 924,428"
"Naturlig bratt vandringshinder, Foss","desember 10, 2018",,"desember 11, 2018",,Høleåna,Ecofact,,,2010-08-03 00:00:00,"−17 049,748","6 562 396,241"
"Vandrngshinder, Foss, Bratt naturlighinder ved svarthølen.","desember 10, 2018",,"desember 10, 2018",,Frafjordelva,Knut Ståle Eriksen,,,2018-12-10 00:00:00,"2 472,903","6 555 504,493"
Naturlig vandringshinder ( Ur) Gyting sjøaure registrert i bekken opp til hinder,"desember 10, 2018",,"desember 10, 2018",,,Knut Ståle Eriksen,,,2018-12-10 00:00:00,"2 682,916","6 563 742,311"
"Vandringshinder, Foss","desember 10, 2018",,"desember 10, 2018",,Vindøla,Knut Ståle Eriksen,,,2018-12-10 00:00:00,"−585,687","6 564 196,073"
"Naturlig hinder, Foss","desember 10, 2018",,"desember 10, 2018",,Torfridsbekken,Knut Ståle Eriksen,,,2018-12-10 00:00:00,"−367,405","6 563 417,534"
"Naturlig bratt vandringshinder, terreng","desember 11, 2018",,"desember 11, 2018",,Giljabekken,Knut Ståle Eriksen,,,2018-12-11 00:00:00,"−1 684,371","6 555 088,765"
,"desember 12, 2018",,"desember 12, 2018",,Foren,Knut Ståle Eriksen,,,2018-12-12 00:00:00,"−555,384","6 589 135,251"
Elva går inni bratt steinur.,"desember 12, 2018",,"desember 12, 2018",,Tusso,Knut Ståle Eriksen,,,2018-12-12 00:00:00,"12 147,949","6 593 373,885"
Grunnvannsoppkomme,"desember 12, 2018",,"desember 12, 2018",,Rivelandskvitlen,Knut Ståle Eriksen,,,2018-12-12 00:00:00,"2 767,79","6 588 217,145"
,"desember 12, 2018",,"desember 12, 2018",,Sagbekken,Knut Ståle Eriksen,,,2018-12-12 00:00:00,"5 138,461","6 588 754,25"
Foss,"desember 12, 2018",,"desember 12, 2018",,Lyngsåna,Knut Ståle Eriksen,,,2018-12-12 00:00:00,"6 278,817","6 588 550,521"
"Stor blokk, Foss","desember 12, 2018",,"desember 12, 2018",,"Årdalselva , Storåna",Knut Ståle Eriksen,,,2018-12-12 00:00:00,"6 891,329","6 588 977,824"
Naturlig bratt tigning,"desember 13, 2018",,"desember 13, 2018",,Forsandåna,,,,,"−8 787,911","6 562 199,291"
,"desember 15, 2018",,"desember 15, 2018",,,,,,,"1 997,354","6 616 483,736"
"220 meter opp i vassdraget, kote 11.","desember 15, 2018",,"desember 15, 2018",,Tysseelva,"Faun Naturforvaltning, NVE",,,,"2 035,388","6 616 681,512"
Det er ikke oppvandringsmuligheter til Søråna fra Førrreåa,"desember 15, 2018",,"desember 15, 2018",,Søråna,Rågivande biologar,,,2014-2018 (rapportserie),"21 958,719","6 606 729,417"
"Vandringshinder etter 2,2 km","desember 15, 2018",,"desember 15, 2018",,Førreåa,Rådgivande biologar,,,2014-2018 (rapportserie),"22 262,329","6 607 036,665"
"Vandringshinderet i Ulla består av en røys med store steinblokker, som til sammen skaper et fall på rundt ti meter. Det er tidligere vurdert at relativt enkelt sprengningsarbeid kan åpne dette hinderet. Vil da øke anadrom strekning med 1,5 km .","desember 15, 2018",,"desember 15, 2018",,Ulla,Rådgivende biologer rapport,,,2014-2018,"14 912,189","6 611 953,294"
fjellstup så pass høyt at ikke fisk kommer opp. muligens noen individer klarer dette under meget høy vannstand,"desember 18, 2018",,"desember 18, 2018",,Aksneselva,Anbjørn Kallekodt,,,2018-12-18 00:00:00,"−46 366,342","6 621 541,456"
fritt frem ca 100 meter i bekk. etter dette mange mulige naturlige vandringshinder.,"desember 19, 2018",,"desember 19, 2018",,steinbrubekken,Anbjørn Kallekodt,,,2018-12-12 00:00:00,"−34 540,354","6 628 022,299"
fjellvegg fossefall.. er mulig for og gjøre store inngrep. eventuelt trapp,"desember 29, 2018",,"desember 29, 2018",,dalselva,Anbjørn Kallekodt,,,2018-12-29 00:00:00,"−30 842,448","6 627 587,864"
Vandringshinder p.g.a Synne flommen i 2015 la opp store mengder grus,"januar 24, 2019",,"januar 24, 2019",,Litlaåna,Knut Ståle Eriksen,,,2018-01-21 00:00:00,"−6 932,847","6 553 505,231"
,"mars 8, 2019",,"mars 8, 2019",,Svandalsfossen,,,,,"9 725,684","6 641 877,068"
,"mars 12, 2019",,"mars 12, 2019",,Mollaelva,,,,,"11 162,621","6 636 740,175"
Naturlig vandringshinder,"mai 29, 2019",,"mai 29, 2019",,Riskedalsåna,Knut Ståle Eriksen,,,2019-05-20 00:00:00,"−1 613,37","6 590 929,867"
Bratt terreng og vanskelig oppvandring,"juli 31, 2019",,"juli 31, 2019",,Puntåna,Knut Ståle Eriksen,,,2019-07-29 00:00:00,"−4 210,279","6 599 476,842"
"Fossefall ca +/-5 m flere trinn, mulig med trappeløsning","september 1, 2019",,"september 1, 2019",,,Knut Ståle Eriksen,,,2019-09-01 00:00:00,"−20 034,378","6 582 702,556"
Steiner i bekkeløpet,"oktober 12, 2019",,"oktober 12, 2019",,Galtavigåbekken,"Simon Darre, Jens Holing",,,2019-10-06 00:00:00,"−23 161,429","6 571 869,749"
Sprang på 2 meter,"oktober 12, 2019",,"oktober 12, 2019",,Galtavigåbekken,"Simon Darre, Jens Holing",,,2019-10-06 00:00:00,"−23 146,546","6 571 844,117"
"Foss, med fall på 2 - 3 meter","oktober 13, 2019",,"oktober 13, 2019",,Støldvig Bekken,"Simon Darre, Jens Holing",,,2019-10-06 00:00:00,"−24 282,768","6 571 462,868"
Foss ca 3-4 meter fall,"oktober 19, 2019",,"oktober 19, 2019",,Daleåna,"Oddvar vermedal, Knut Ståle Eriksen",,,2019-10-19 00:00:00,"−30 391,1","6 565 565,625"
"Vandringshinder, Stein, må lage oppsrangsdybde, brukke trestokker","oktober 19, 2019",,"oktober 19, 2019",,Gramstadbekken,"Oddvar Vermedal, Knut Ståle Eriksen",,,2019-10-19 00:00:00,"−30 952,928","6 563 340,64"
"Høyt sprang , kan løses med flytting av stein","oktober 19, 2019",,"oktober 19, 2019",,Gramstadbekken,"Oddvar Vermedal, Knut Ståle Eriksen",,,2019-10-19 00:00:00,"−30 837,172","6 563 388,265"
"Bratt steinur, ikke passerbar , 2 m fall","oktober 20, 2019",,"oktober 20, 2019",,Bekk ved Grønnevik,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−28 026,961","6 568 286,87"
"Mnge naturlige sprang, natulige vandringshindre en serie","oktober 20, 2019",,"oktober 20, 2019",,,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−27 957,177","6 568 359,299"
,"oktober 20, 2019",,"oktober 20, 2019",,,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−28 059,703","6 568 254,458"
,"oktober 20, 2019",,"oktober 20, 2019",,,,,,,"−27 650,425","6 567 672,87"
"Fosseparti, flere naturlige sprang, må evaluere om auren kommer videre","oktober 20, 2019",,"oktober 20, 2019",,Liåna,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−27 649,763","6 567 673,531"
"Bratt Terreng, Foss med flere høye trinn, langvarig stigning","oktober 20, 2019",,"oktober 20, 2019",,Bekk ved Nedre Li,Knut Ståle eriksen,,,2019-10-20 00:00:00,"−27 256,195","6 567 824,344"
"naturlig hinder, mest sannsynlig passerbar, men kan utbedres, dypere oppsprang.","oktober 20, 2019",,"oktober 20, 2019",,Bekk ved Nedre Li,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−27 273,393","6 568 012,529"
"Bekken er ledete om ? , 'Nyt't løp er vandringshinder, sideløpet kan enkelt åpnes, trrær og mudder og gir lett passasje","oktober 22, 2019",,"oktober 22, 2019",,Liåna,Knut Ståle Eriksen,,,2019-10-20 00:00:00,"−27 551,206","6 567 818,722"
Foss vertikal fall 3-5 meter + flere trinn > 10 m fall totalt,"oktober 23, 2019",,"oktober 23, 2019",,Lauvikbekken,"Trond Askildsen, Carl Henrik, Knut Ståle Eriksen",,,2019-10-21 00:00:00,"−14 781,066","6 562 036,737"
"Terreng, serie med bratte trinn/kulper/fosseparti","november 23, 2019",,"november 23, 2019",,Bekk ved Hamn,Knut Ståle Eriksen,,,2019-11-23 00:00:00,"−10 931,867","6 568 036,011"
,"november 24, 2019",,"november 24, 2019",,,,,,,"5 010,748","6 607 223,697"
Naturlig vandringshinder,"desember 1, 2019",,"desember 1, 2019",,Eidane,,,,,"−3 890,133","6 568 757,994"
,"desember 6, 2019",,"desember 6, 2019",,,,,,,"−21 348,379","6 593 968,193"
"Sidebekken fra Bonjeåsmyra holder fisk opp til fossen, ca 45meter fra hovedbekken.","desember 9, 2019",,"desember 9, 2019",,"Bergsvannbekken, sidebekk fra Bonjeåsmyra",Kjetil Flakke,,,2019-12-09 00:00:00,"109 929,472","6 471 135,557"
"Fosseparti, ca 5 m stigning over flere fall","desember 14, 2019",,"desember 14, 2019",,Rossavigå,Knut Ståle Eriksen,,,2019-12-14 00:00:00,"−10 274,21","6 559 694,178"
