Beskrivelse,CreationDate,Creator,EditDate,Editor,Navn_bekk,Navn_observatør,POINT_X,POINT_Y,Registreringsdato,x,y
Vandringshinder m. foss/blokk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kålbekk,,"449 173,453","6 454 439,411",,"97 207,369","6 474 667,313"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Prestebekk,,"448 116,342","6 454 468,516",,"96 154,986","6 474 790,675"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Buestadbekk,,"448 929,567","6 455 662,344",,"97 073,092","6 475 909,534"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bjorvannsbekken,,"451 084,482","6 459 826,267",,"99 595,238","6 479 872,67"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bøensbekk/Dalebekken,,"446 916,557","6 453 847,262",,"94 902,182","6 474 277,713"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bøensbekk/Dalebekken,,"446 842,428","6 453 119,525",,"94 763,275","6 473 558,045"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sannerdalsbekken,,"452 368,033","6 460 659,908",,"100 950,569","6 480 590,023"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bjorhusbekken,,"450 986,592","6 462 972,854",,"99 778,462","6 483 021,549"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvernhusbekken,,"451 944,575","6 463 970,615",,"100 823,569","6 483 931,717"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Monebekken,,"452 289,997","6 465 117,726",,"101 270,715","6 485 045,615"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Flakkelva,,"453 482,095","6 466 410,221",,"102 575,775","6 486 228,966"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Hagestadbekken,,"456 024,356","6 469 154,771",,"105 357,874","6 488 740,694"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Åmlibekken,,"461 075,509","6 480 034,182",,"111 370,597","6 499 145,44"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Lillebekken,,"460 327,026","6 479 687,37",,"110 592,72","6 498 866,304"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Ålekjerrbekken,,"460 050,323","6 487 832,064",,"111 045,159","6 507 018,133"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Knarrestadbekk,,"449 478,107","6 455 709,732",,"97 624,75","6 475 907,881"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Knarrestadbekk,,"449 533,464","6 455 476,073",,"97 659,145","6 475 669,755"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Tovdalselva,,"464 852,871","6 493 886,874",,"116 379,115","6 512 629,806"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"490 037,074","6 482 622,09",,"140 497,249","6 499 138,119"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"490 052,525","6 482 571,756",,"140 508,163","6 499 086,525"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"498 813,052","6 488 927,669",,"149 815,481","6 504 643,532"
"Mulig for bratt å forsere fjell. Opp til denne fossen observerte vi masse flott yngel, men ingen på oversiden(ca 50m) vandringshinder bør utbedres. Kjetil Flakke","april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Mollandsbekken,,"473 350,227","6 463 790,492",,"122 167,086","6 481 840,933"
"3-4 meter foss/fall, ikke Passerbart, Kjetil Flakke","april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Morvigabekken,,"473 702,326","6 463 287,573",,"122 473,505","6 481 307,715"
"Bratt fjell/foss, ufarbar, krever endel innsats å utbedre, Kjetil Flakke","april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,"Krømpebekken, Kjetil Flakke",,"471 305,323","6 461 398,258",,"119 913,235","6 479 636,547"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kleivsetelva,,"422 045,205","6 440 274,566",,"68 867,262","6 462 948,65"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Harkmarksbekken,,"418 246,828","6 438 583,511",,"64 924,787","6 461 599,143"
Mulig den kan gå lengre,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"413 077,378","6 431 256,339",,"59 111,218","6 454 745,098"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"412 499,833","6 428 535,994",,"58 292,331","6 452 080,739"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"412 104,844","6 433 022,088",,"58 297,623","6 456 594,539"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"405 999,169","6 435 188,904",,"52 395,088","6 459 301,894"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"404 972,11","6 436 051,255",,"51 446,555","6 460 254,396"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"406 817,16","6 437 083,912",,"53 380,663","6 461 120,908"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"469 925,173","6 460 739,945",,"118 477,392","6 479 102,858"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"415 216,652","6 436 323,319",,"61 698,363","6 459 612,909"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"415 413,183","6 437 476,542",,"61 997,342","6 460 746,651"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"413 373,716","6 434 114,747",,"59 661,728","6 457 572,306"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"413 708,333","6 434 968,196",,"60 071,833","6 458 394,501"
,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,,,"406 569,704","6 433 582,965",,"52 821,574","6 457 647,713"
endret sted i hht JH Simonsen 1999,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Hammerbekken,,"502 784,843","6 508 981,912",,"155 572,368","6 524 291,526"
Diffust område -forvaltninggrense fastsatt,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sukkevannsbekken,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"93 450,499","6 465 190,819"
Diffust område -forvaltninggrense fastsatt. fisk er observert ovenfor vanskelig stryk etter tilrettelegging for passering.,"april 12, 2016",oystein_aafk,"februar 9, 2018",OKRI,Fivannsbekken,"Fylkesmannen i Vest-Agder, Bengt Daatland",,,2006-08-18 00:00:00,"95 452,416","6 467 176,616"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Drangebekken,Fylkesmannen i Vest-Agder,,,2016-02-25 00:00:00,"96 727,159","6 466 137,023"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Timenesbekken,Fylkesmannen i Vest-Agder,,,2016-02-25 00:00:00,"94 918,9","6 468 642,841"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Lundebekken,"Fylkesmannen i Vest-Agder, Tellefsen 2003 (rapport fra Laxefiskelaget)",,,2016-02-26 00:00:00,"87 713,742","6 478 146,774"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Sagebekken,"Fylkesmannen i Vest-Agder, Tellefsen 2003 (rapport fra Laxefiskelaget)",,,2016-02-26 00:00:00,"85 716,614","6 475 367,045"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Rauåna,"Fylkesmannen i Vest-Agder, Tellefsen 2003 (rapport fra Laxefiskelaget)",,,2016-02-26 00:00:00,"86 623,919","6 478 297,995"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kjeksebekken,"Fylkesmannen i Vest-Agder, Tellefsen 2003 (rapport fra Laxefiskelaget)",,,2016-02-26 00:00:00,"84 941,83","6 476 553,511"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Ålefjærbekken,Fylkesmannen i Vest-Agder,,,2006-08-15 00:00:00,"91 477,867","6 476 266,625"
Diffust område -forvaltninggrense fastsatt,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kostølbekken,Fylkesmannen i Vest-Agder,,,2016-02-25 00:00:00,"90 456,055","6 474 654,712"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Opsåsbekken,Fylkesmannen i Vest-Agder,,,2016-02-25 00:00:00,"90 788,274","6 475 939,502"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Bekk sør for Føreid,Fylkesmannen i Vest-Agder,,,2016-02-25 00:00:00,"91 731,549","6 473 070,664"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Kvernbekken,Fylkesmannen i Vest-Agder,,,2016-02-26 00:00:00,"84 389,638","6 463 457,176"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Eidsåna,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2016-02-29 00:00:00,"65 094,937","6 471 086,715"
Foss,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Høyeåna,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"64 578,296","6 472 135,455"
Foss/stryk,"april 12, 2016",oystein_aafk,"april 12, 2016",oystein_aafk,Lindlandsbekken,"Fylkesmannen i Vest-Agder, H M Berger 2005",,,2006-08-22 00:00:00,"60 048,053","6 460 609,061"
