OBJECTID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Studentenes vurdering,Anadrom strekning?,Over driftskontrakt?,Type tiltak,Prioritering,Fagkommentar,Kontrollert,Vassdragets viktighet,x,y
449,"Ikke hinder, men veldig bratt oppstrøms. ",,10,,0.0,Vegårshei ,Nei,,,, ,,Nei,,"143 105,663","6 527 954,458"
450,"Bekk ser blokkert ut lengre nedstrøms, og det er litt for høyt opp mot kulvert. ",Nei,50,,25.0,Vegårshei ,Ja,,,,0,,Nei,,"140 708,48","6 524 761,622"
451,"Tørt rett ved kulverter, ellers mye vann nedstrøms. Renner ikke vann gjennom kulvert. ",Nei,10,,60.0,Vegårshei ,Nei,,,, ,,Nei,,"136 121,93","6 525 441,854"
452,Tjern/myr nedstrøms. Ikke hinder ,Nei,0,,20.0,Vegårshei ,Nei,,,, ,,Nei,,"135 525,84","6 525 648,844"
453,"Tør bekk, helt grei nedstøms. ",Nei,0,,30.0,Vegårshei ,Nei,,,, ,,Nei,,"135 081,001","6 525 738,011"
454,"Kan se alle tre utløpende nedstrøms, hvor 2 av disse kan ses igjennom. Tør bekk etter pytt nedstrøms. Ser frosk og rumpetroll nedstrøms. ",Nei,40,,60.0,Vegårshei ,Nei,,,, ,,Nei,,"134 927,109","6 525 779,48"
455,"Mulig hinder, ligger et par plank og noe stein foran kulvert. ",Nei,50,,2.0,Vegårshei ,Usikker,,,,IkkePrioritert,"Langt unna vannet for gytefisk, ikke mellom to vann, ser ut til å være veldig tørt her",Nei,,"133 875,891","6 525 982,024"
456,"Ikke hinder, grei bekk. Så en liten fisk ",Nei,0,,10.0,Vegårshei ,Nei,,,, ,,Nei,,"134 055,192","6 526 469,902"
457,"Ikke hinder, fin bekk nedstrøms. Ser noe fisk. ",Nei,2,,10.0,Vegårshei ,Nei,,,, ,,Nei,,"134 044,056","6 526 559,747"
458,Usikker på dybde siden vannet er såpass uklart. Ikke hinder ,Nei,0,,,Vegårshei,Nei,,,, ,,Nei,,"131 968,326","6 522 661,979"
459,"Meir grøft en bekk, kulvert ikke hinder. Tørt ",Nei,0,,2.0,Vegårshei ,Nei,,,, ,,Nei,,"134 107,718","6 518 290,065"
460,"Gjengrodd rett før kulvert, så lite vann rett ved kulvert. Ok bekk nedstrøms. Blokkert av kvist oppstrøms. ",Nei,0,,5.0,Vegårshei ,Ja,Nei,Ja,LettRensk,0,,'Ja',,"134 338,891","6 518 769,66"
461,"Fin kulvert, ikke hinder. Lite vann i bekk. ",Nei,0,,5.0,Vegårshei ,Nei,,,, ,,Nei,,"134 650,963","6 519 211,539"
462,"Ikke hinder, men er litt gjengrodd under bru. ",Nei,0,,10.0,Vegårshei ,Nei,,,, ,,Nei,,"136 458,803","6 522 873,242"
463,"Ser grei ut nedstrøms, men det ut som om kulvert er lagt feil. Ser ut som om denne ligger på siden ",Nei,0,,100.0,Tvedestrand ,Nei,,,, ,,Nei,,"141 389,735","6 513 905,889"
464,"Litt stillestående vann, sannsynligvis ikke hinder. Mye vegetasjon ",Nei,0,,40.0,Tvedestrand ,Nei,,,, ,,Nei,,"141 305,713","6 513 851,641"
465,"Tenker denne er hinder, da det er litt høyt fra vannflate til kulvert. Plus at siste del av stikkrenne ser ny ut. ",Nei,40,,10.0,Tvedestrand ,Ja,,Ja,UavklartMåBefares,0,,Nei,,"140 953,702","6 513 551,117"
466,Mulig høyde gjør denne til delvis hinder. Så en liten fisk nedstrøms. ,Ja,40,"Naturlig kulp, grei dybde. ",40.0,,Usikker,,,,IkkePrioritert,Ikke fiskevandringsstrekning,Nei,,"139 939,2","6 514 303,838"
467,"Ser grei ut nedstrøms, litt stillestående vann. Er et par store aurer. ",Nei,25,,50.0,Froland ,Nei,,,, ,,Nei,,"137 683,008","6 513 860,473"
468,"Mulig hinder på grunn av lengde og vannføring, er en del fisk nedstrøms",Nei,0,,70.0,Tvedestrand ,Usikker,,,,3,,Nei,,"137 117,526","6 513 327,802"
469,"Kulvert er nok hinder, men ikke noe interessant habitat oppstrøms. ",Nei,0,,0.0,Froland ,Ja,,,,IkkePrioritert,,Nei,,"133 478,908","6 507 992,05"
470,"Kulvert ikke hinder, men bekk bør sjekkes. Usikker på vannstand, veldig stillestående vann. Svært redusert vankvalitet og veldig gjødselpreget vann. Litt stigning mot kulvert, men fin inngang. Bekk burde ses over. ",Nei,40,,,Froland ,Ja,,,,IkkePrioritert,,Nei,,"130 294,649","6 503 725,112"
471,"Noe gjengrodd bekk, ikke hinder ",Nei,0,,20.0,Froland ,Nei,,,, ,,Nei,,"133 357,191","6 505 460,14"
472,Usikker på om fisk noen gang vil kunne bruke denne bekken. Kulvert blokkert av kvist nedstrøms. Bekk gjengrodd ,Nei,0,,0.0,Arendal ,Ja,Nei,Ja,LettRensk,0,,'Ja',,"129 745,943","6 495 701,554"
473,Fisk vil ikke kunne komme opp til kulvert. Men er ikke mye til bekk nedstrøms uansett. ,Nei,300,,0.0,Arendal ,Ja,Nei,Nei,UavklartMåBefares,3,,Nei,,"129 683,277","6 495 699,583"
474,"Grei bekk nedstrøms, kulvert ikke hinder ",Nei,0,,10.0,Arendal ,Nei,,,, ,,Nei,,"129 612,741","6 495 372,156"
475,Noe gjengrodd foran åpning oppstrøms. Stillestående vann og relativt gjødselpreget. ,Nei,5,,15.0,Arendal ,Nei,,,, ,,Nei,,"128 365,879","6 495 272,615"
