GA2,ga,Nedstrøms Objekt ID i kart app,Oppstrøms ID,SF 2026 ID,Kommentar,Kulp_nedstrøms,Avstand til kulp,Beskrivelse av kulp,Vanndybde_nedstrøms,Stedsnavn,Vurderin vandringshinder,x,y,OBJECTID,Kommentar.1,Vanndybde_oppstrøms,Innvendig diameter,Innv diam mm,Lengde,Vurdering_vannføring,Vurdering vannhastighet,Stedsnavn.1,Vurdering_oppgangshinder,x.1,y.1,Justert konsekvens,Vurderin vandringshinder.1,identifikasjon_lokalId,kommentar utfyllende,Bilde gruppe,FK kommentar,Regine,NVDB,Dublett,Kom til NVDB,Statsveg/fylkesveg,Vassdrag, Er stikkrenna/kulverten et problem for fiskevandring?,Hva er problemet?,"Diameter (cm) (omtrentlig, noen er anslåelser derom det var vanskelig å komme nærme nok kulverten for å måle)",Kommentar stikkord,OBJ.VEGOBJEKT-ID,VSR.VEGSYSTEMREFERANSE,EGS.BRUKSOMRÅDE.6981,"EGS.DIAMETER, INNVENDIG (MM).3113","EGS.BREDDE, INNVENDIG (MM).4548","EGS.HØYDE, INNVENDIG (MM).4549","EGS.DIAMETER, INNVENDIG (MM).3113.1",EGS.HAR INNLØPSRIST.1923,EGS.LENGDE (M).1323,EGS.MATERIALTYPE.6983,EGS.SPESIELLE PROBLEM.4562,EGS.GJENNOMLØP FOR ELV/BEKK.10223,LOK.GEOMETRI,LOK.TYPEVEG,EGS.TILLEGGSINFORMASJON.10771,LOK.KOMMUNE,EGS.TVERRSNITTSFORM.6984,EGS.TYPE UTLØP.1940,Stikk_bru
578.0,578.0,584,581,,"Hinder, men ikke barriere",Ja,1,"Rask hastighet gjennom kulpen, relativt liten",60.0,Kallåsen,Usikker,"407 541,895","6 438 664,086",581.0,0,5.0,60.0,600.0,10.0,Middels,Middels,Nødingsdale,0.0,"414 348,954","6 440 784,953",Partiell,Usikker,022-886-R,0,,,022.4B,86180129,1469806,,,Sjølingstadbekken bekkefelt,,,,,86180129.0,FV4002 S1D1 m6793,Vann,900.0,,,900.0,,20.0,Betong,,,POINT Z (54270.705 6462638.12 152.858),Enkel bilveg,,Lindesnes,Sirkulær,Kum,StikkKulv
79.0,79.0,84,89,,"Kulvert tett oppstrøms, mye vegetasjon i bekkeløp begge sider. ",Nei,0,0,0.0,Hoveveien (bekk som renner ut i sandumkilen),Ja,"490 995,292","6 478 325,374",89.0,Mye vegetasjon og søppel som blokkerer bekkeløp.,0.0,60.0,600.0,15.0,Lav,Lav,Hove,0.0,"491 008,001","6 478 373,922",Absolutt,Ja,ikke VF,0,,,019.11,84429409,-1750720,,,,,,,,84429409.0,FV3580 S1D1 m389,Vann,600.0,,,600.0,Nei,22.0,Plast,,Ja,POINT Z (141086.78 6494767.645 8.374),Enkel bilveg,,Arendal,Sirkulær,I bekk/elv,StikkKulv
207.0,207.0,212,214,,"Veldig lav vannføring. Ikke nødvendigvis vandringshinder, hvis det kommer fisk hit ",Nei,5,0,0.0,Mandal ,Nei,"417 920,766","6 460 512,869",214.0,"i stein hele veien, stillestående, gjengrodd rundt, men eller ok",15.0,60.0,600.0,15.0,Lav,Lav,0,0.0,"417 904,088","6 460 528,901",Ikke hinder,Nei,022-650-R,0,,,022.B1Z,815353486,730924077,,,Mandalselva - Laudal til Øyslebø bekkefelt,,,,,815353486.0,FV461 S2D1 m8238,Vann,1000.0,,,1000.0,,,Naturstein,,,POINT Z (66546.277 6483532.288 219.814),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
351.0,351.0,356,352,,Ser grei ut nedstrøms. Trolig greit bekkeløp. Usikker på hvor denne ender ,Nei,0,0,20.0,Risør ,Usikker,"504 833,046","6 513 511,857",352.0,"Ser ikke tydelig kulvert, men ser antydning til bekk.",0.0,60.0,600.0,10.0,Lav,Lav,Risør ,0.0,"504 864,118","6 513 524,503",Partiell,Usikker,018-249-R,0,,,018.21,84709006,-730644480,,,Bekk fra Dukane,,,,,84709006.0,FV351 S1D1 m439,Vann,1200.0,,,1200.0,Nei,13.0,Stål,,,POINT Z (158048.504 6528630.715 8.144),Enkel bilveg,,Risør,Sirkulær,Kum,StikkKulv
128.0,128.0,133,136,,Sannsynligvis grei for vandring. Men er veldig tør nå. Mulig noe underdimensjoner kulvert. Sikkert ok for brunaure. ,Nei,0,0,0.0,Søm ,Nei,"447 008,97","6 445 934,747",136.0,"gjengrodd, men fin bekk og steinkulvert",10.0,60.0,600.0,12.0,Lav,Lav,Sukkevann,0.0,"447 006,476","6 446 011,543",Ikke hinder,Nei,020-324-R,0,,,020.424Z,1027480821,942771815,,,Sukkevatnet bekkefelt,,,,,1027480821.0,FV401 S2D1 m4800,Vann,1200.0,,,1200.0,Ja,24.73,Betong,,Ja,POINT Z (94294.708 6466386.378 11.482),Enkel bilveg,,Kristiansand,Sirkulær,I skråning/terreng,StikkKulv
471.0,471.0,476,472,,Usikker på om fisk noen gang vil kunne bruke denne bekken. Kulvert blokkert av kvist nedstrøms. Bekk gjengrodd ,Nei,0,0,0.0,Løddesølveien (Hildebrandsbekken renner ned i Nordtjenna),Ja,"479 652,261","6 478 246,952",472.0,"Helt tør bekk, gammel steinkulvert. Ser litt blokkert ut innvendig ",0.0,60.0,600.0,20.0,Lav,Lav,Arendal ,0.0,"479 654,59","6 478 258,62",Absolutt,Ja,019-698-R,0,,,019.B1,84586411,-942894410,,,Nidelva Furre - Rygene kraftverk bekkefelt,,,,,84586411.0,FV3536 S1D1 m3682,Vann,,1400.0,600.0,1400.0,Nei,12.0,Naturstein,,,POINT Z (129754.926 6495707.218 81.221),Enkel bilveg,,Arendal,Rektangulær,I skråning/terreng,StikkKulv
325.0,325.0,330,326,,"Sannsynligvis fin, men veldig gjengrodd nedstrøms. ",Nei,0,0,10.0,Froland ,Nei,"480 732,888","6 482 464,906",326.0,"fin, så en 10cm fisk",20.0,60.0,600.0,12.0,Lav,Lav,0,0.0,"480 714,292","6 482 473,221",Ikke hinder,Nei,019-1-R,0,,,019.A1Z,84796386,209975,,,"Assævannet, bekkefelt",,,,,84796386.0,FV42 S1D1 m4248,Vann,,3000.0,1000.0,3000.0,,12.0,Betong,,,POINT Z (131194.425 6499801.486 57.807),Enkel bilveg,,Froland,Sirkulær,,StikkKulv
161.0,161.0,166,169,,"2 plast stikkrenner etter hverandre, mulig disse kan gjennomvandres. Veldig gjengrodd og begrenset bekk",Nei,0,0,2.0,Høvåg ,Usikker,"456 401,681","6 448 995,02",169.0,"gjengrodd og grumsete, pvc rør",10.0,30.0,300.0,6.0,Lav,Lav,0,0.0,"456 401,029","6 448 995,324",Partiell,Usikker,ikke VF,0,,,020.41,84439357,-357029,,,,,,,,84439357.0,FV3654 S1D1 m1260,Vann,350.0,,,350.0,Nei,5.0,Plast,,Nei,POINT Z (103941.884 6468587.715 20.254),Enkel bilveg,,Lillesand,Sirkulær,Åpen grøft,StikkKulv
293.0,293.0,298,296,,"Liten betongkulvert, underdimensjoner. Ser ut som denne er full av jord og slam. Ikke noe vann i bekk nedstrøms. Ikke bra, avhengig av hvor mye vann der kan gå her ",Nei,0,0,0.0,Rugslandsveien (sidebekk Tovdalsåna),Ja,"451 488,177","6 460 476,857",296.0,"fin oppstrøms, mye bra fine stein",5.0,70.0,700.0,80.0,Lav,Lav,0,0.0,"451 472,945","6 460 545,445",Absolutt,Ja,020-183-R,0,,,020.A5,84466847,27490,,,Topdalselva,,,,,84466847.0,FV3748 S2D1 m768,Vann,300.0,,,300.0,,18.0,Betong,,,POINT Z (100051.148 6480483.587 19.784),Enkel bilveg,,Birkenes,Sirkulær,Kum,StikkKulv
159.0,159.0,164,167,,"Fin kulvert, bra substrat i bekk. Når det er så tørt som nå så vil noe saltvann flytte gjennom kulvert. Men ok. ",Nei,0,0,20.0,Høvåg ,Nei,"454 170,157","6 443 330,675",167.0,saltvann kommer gjennom kulvert,15.0,70.0,700.0,15.0,Lav,Lav,0,0.0,"454 170,768","6 443 347,454",Ikke hinder,Nei,ikke VF,0,,,020.421,84431962,-34885,,,,,,,,84431962.0,FV3644 S1D1 m689,Vann,1000.0,,,1000.0,Nei,8.0,Betong,,Ja,POINT Z (101204.892 6463144.795 1.942),Enkel bilveg,,Lillesand,Sirkulær,I bekk/elv,StikkKulv
56.0,56.0,61,66,,"Litt høyde mot kulvert, men er kulvert i stein og fin Inngang til kulvert. Ikke vandringshinder nedstrøms.",Nei,30,0,5.0,Mandal 7 ,Nei,"411 495,569","6 435 623,438",66.0,"Helt tør oppstrøms, mye kvist som delvis stopper bekken lengre oppe, noe hinder men fisk vil kunne passere ok for ål. ",0.0,70.0,700.0,8.0,Lav,Lav,Mandal 7 ,0.0,"411 489,897","6 435 626,68",Ikke hinder,Nei,022-814-R,lang avstan mellom bekk og kulvert,,,022.A6,86189174,1757212,,,Mandalselva - Øyslebø til Mandal,,,,,86189174.0,FV4226 S1D1 m3392,Vann,,500.0,600.0,500.0,,7.0,Naturstein,,,POINT Z (57911.622 6459241.284 2.019),Enkel bilveg,,Lindesnes,Rektangulær,Kum,StikkKulv
574.0,574.0,580,577,,0,Ja,0,30 cm vannstand,30.0,Holtekryss,Nei,"406 891,798","6 436 554,764",577.0,0,20.0,70.0,700.0,7.0,Middels,Middels,Holte Kryss,0.0,"406 894,693","6 436 537,996",Ikke hinder,Nei,022-885-R,0,,,022.4A,86191048,1874,,,Elv fra Skadbergvatnet,,,,,86191048.0,FV3996 S1D1 m3035,Vann,500.0,,,500.0,,6.0,Betong,,,POINT Z (53408.329 6460574.087 52.268),Enkel bilveg,,Lindesnes,Sirkulær,Kum,StikkKulv
167.0,167.0,172,175,,"Leder ikke til noe serlig bekk, mest myr ",Nei,0,0,25.0,Kjøbmannsvigveien (bekk til Lusekilen),Ja,"457 791,195","6 450 177,478",175.0,bensinsøl og tett,40.0,60.0,600.0,8.0,Lav,Lav,0,0.0,"457 803,534","6 450 148,487",Absolutt,Ja,ikke VF,0,,,020.32,84439222,-1751826,,,,,,,,84439222.0,FV3656 S1D1 m1758,Vann,400.0,,,400.0,Nei,6.0,Plast,,Nei,POINT Z (105424.465 6469630.259 23.509),Enkel bilveg,,Lillesand,Sirkulær,I skråning/terreng,StikkKulv
162.0,162.0,167,170,,"Bekk ok nedstrøms, men ser svært begrenset ut oppstrøms. Bekk burde utbedres med tanke på jordbruk og kulverter under jorder. ",Nei,0,0,25.0,Høvågveien (Øreslandsbekken),Ja,"455 323,201","6 448 859,385",170.0,stopper brått og  stillestående vann,8.0,70.0,700.0,10.0,Lav,Lav,0,0.0,"455 337,134","6 448 868,426",Absolutt,Ja,020-397-R,0,,,020.41,84439577,dubl,,,Isefjærfjorden bekkefelt,,,,,84439577.0,FV401 S1D1 m3699,,,600.0,800.0,600.0,,12.0,Naturstein,,,POINT Z (102854.812 6468541.635 1.224),Enkel bilveg,,Lillesand,,,StikkKulv
148.0,148.0,154,157,,"Veldig tør og gjenngrodd bekk, kulvert fin ",Nei,0,0,0.0,Kvinesdal ,Nei,"377 856,407","6 462 860,633",157.0,"tørr, og med søppel",0.0,110.0,1100.0,10.0,Lav,Lav,Kvinesdal ,0.0,"377 818,92","6 462 888,955",Ikke hinder,Nei,Ikke VF,0,,,025.A0,1025912254,941472677,,,,,,,,1025912254.0,FV465 S4D1 m5372,Vann,,1600.0,1000.0,1600.0,Nei,10.22,Betong,,Nei,POINT Z (26747.915 6489461.127 3.946),Enkel bilveg,,Kvinesdal,Rektangulær,Åpen grøft,StikkKulv
37.0,37.0,42,48,,"Ikke barriere, fin å vandre gjennom. Gode forhold nedstrømstrøms.  ",Nei,15,0,5.0,Søgne vgs ,Nei,"432 386,338","6 439 169,17",48.0,"Lav vannføring nå, sannsynligvis ok vanligvis. Greit bunnsubstrat. ",5.0,70.0,700.0,7.0,Lav,Lav,Søgne vgs ,0.0,"432 393,987","6 439 173,242",Ikke hinder,Nei,022-705-R,Mulig kulvert for langt fra bekken. Mangler kulvert?,,,022.1A12,86110903,-939801351,,,Søgneelva - Brennåsen til utløp,,,,,86110903.0,FV3958 S1D1 m796,Vann,,600.0,1400.0,600.0,,6.0,Naturstein,,,POINT Z (79095.383 6460939.862 3.952),Enkel bilveg,,Kristiansand,Rektangulær,I bekk/elv,StikkKulv
205.0,205.0,210,212,,"Veldig lav vannføring, og stillestående vann, med mye slam. Ikke bra fiskehabitat nedstrøms. Lav gjennomføring av vann ",Nei,0,0,20.0,Mandal ,Usikker,"416 589,355","6 459 918,399",212.0,"ekkelt vann, stillestående,  ok bekk og kulvert",20.0,70.0,700.0,20.0,Lav,Lav,0,0.0,"416 571,255","6 459 933,522",Partiell,Usikker,022-650-R,0,,,022.B1Z,815353473,729242570,,,Mandalselva - Laudal til Øyslebø bekkefelt,,,,,815353473.0,FV461 S2D1 m9719,Vann,600.0,,,600.0,,,Betong,,,POINT Z (65164.817 6483053.148 210.687),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
105.0,105.0,110,113,,Grei bekk nedstrøms. Høyt fra vannflate opp mot kulvert. Vandringshinder etter kulvert oppstrøms.,Ja,110,Grunn kulp støpt i betong på siden.,20.0,Risørveien (sidebekk Sørfjorden),Ja,"511 122,468","6 508 314,21",113.0,stein trapp ,5.0,70.0,700.0,15.0,Lav,Lav,Risør,0.0,"511 128,018","6 508 290,896",Absolutt,Ja,"ikke VF, ved 018-182-R",0,,,018.23,762039285,-53314188,,,,,,,,762039285.0,FV416 S2D1 m9800,Vann,,,,700.0,Nei,,Betong,,,POINT Z (163831.127 6522867.453 16.147),Enkel bilveg,,Risør,Sirkulær,I bekk/elv,StikkKulv
157.0,157.0,162,165,,"Noe hinder for ål muligens, og kunne vært dannet noe kulp nedstrøms. Men anadrom fisk bør kunne gjennomvandring med høy vannføring. ",Nei,25,0,10.0,Høvåg ,Usikker,"455 422,316","6 444 278,583",165.0,litt gjwngordd men greit med vann  ref speilbilde i vann haha,15.0,70.0,700.0,80.0,Lav,Lav,0,0.0,"455 388,31","6 444 235,961",Partiell,Usikker,020-280-R,0,,,020.32,84431902,-677607383,,,"Bliksfjorden - Røynevardsfjorden, bekkefelt",,,,,84431902.0,FV3644 S1D1 m2747,Vann,800.0,,,800.0,Nei,25.0,Betong,,Ja,POINT Z (102504.714 6463941.558 3.029),Enkel bilveg,,Lillesand,Sirkulær,I bekk/elv,StikkKulv
485.0,485.0,490,485,,"Så noe som vaket, enten frosk eller fisk. Er 2 kulverter, der kun den ene er i bruk. Kulvert mulig hinder siden den er lang og kan være tett. Landbrukspreget bekk ",Nei,0,0,30.0,Arendal ,Usikker,"477 964,353","6 478 670,975",485.0,Ytterste betongelement er løsnet og ser ut som om det begynner å rase stein nedi. Vil kunne tettes. Stillestående vann oppstrøms. Og en del vegetasjon rundt bekk. ,40.0,70.0,700.0,22.0,Lav,Lav,Arendal ,0.0,"477 953,083","6 478 691,155",Partiell,Usikker,019-698-R,0,,,019.B1,84685154,253252,,,Nidelva Furre - Rygene kraftverk bekkefelt,,,,,84685154.0,FV408 S1D1 m5326,Vann,800.0,,,800.0,,15.0,Betong,,,POINT Z (128094.443 6496272.806 45.263),Enkel bilveg,,Arendal,Sirkulær,,StikkKulv
495.0,495.0,500,495,,"Ligger en stor stein foran utløp, som også samler kvist. Denne er hinder ",Nei,0,0,20.0,Brunvatneveien (sidebekk Trybekken),Ja,"419 601,06","6 442 183,206",495.0,Litt bratt bekk oppstrøms. Kulvert ikke hinder ,10.0,70.0,700.0,10.0,Lav,Middels,Mandal ,0.0,"419 592,321","6 442 185,724",Absolutt,Ja,022-726-R,0,,,022.22Z,86114086,1428932,,,Trysfjorden bekkefelt,,,,,86114086.0,FV3978 S1D1 m2150,Vann,800.0,1000.0,,800.0,,8.0,Naturstein,,,POINT Z (66591.796 6465067.276 58.059),Enkel bilveg,,Kristiansand,Rektangulær,I bekk/elv,StikkKulv
603.0,806.0,,600,,,,,,,,,,,600.0,0,50.0,70.0,700.0,6.0,Middels,Lav,Øvre Laudal,0.0,"408 916,903","6 459 659,662",Ikke angitt,0,022-650-R,0,,,022.B1Z,86331467,217381,,,Mandalselva - Laudal til Øyslebø bekkefelt,,,,,86331467.0,FV461 S3D1 m5245,Vann,800.0,,,800.0,,13.0,Betong,,,POINT Z (57497.637 6483460.999 203.347),Enkel bilveg,,Lindesnes,Sirkulær,Kum,StikkKulv
149.0,149.0,155,158,,"Slammete og sannsynligvis noe tett kulvert. Lite betongrør under bru. Veldig stillestående og slammete vann, ikke bra habitat nedstrøms ",Nei,0,0,30.0,Kvinesdal ,Ja,"377 492,933","6 462 539,762",158.0,"gjengrodd og ekkelt vann med mye mudder, beongkulvert inni kulvert",20.0,150.0,1500.0,10.0,Lav,Lav,Kvinesdal ,0.0,"377 478,335","6 462 571,499",Absolutt,Ja,Ikke VF,bru,,,025.A0,376592456,290260989,,,,,,,,376592456.0,FV465 S4D1 m4893-4894,,,,,1500.0,,,Betong,,,,Enkel bilveg,,Kvinesdal,,Platebru (210),Bru
108.0,108.0,113,116,,"Denne er sannsynligvis helt ok. Litt stigning opp mot kulvert, men bør gå bra, hvis der e fisk her ",Nei,40,0,20.0,Risør ,Nei,"508 809,89","6 508 300,927",116.0,fin gammel kulvert i stein 4kanta,7.0,70.0,700.0,25.0,Lav,Lav,Risør,0.0,"508 797,134","6 508 277,286",Ikke hinder,Nei,018-184-R,0,,,018.23,84656137,-291936319,,,"Sørfjorden-vestre, bekkefelt",,,,,84656137.0,FV416 S2D1 m7413,Vann,1000.0,,,1000.0,Nei,27.0,Betong,,,POINT Z (161519.389 6523061.213 29.46),Enkel bilveg,,Risør,Sirkulær,,StikkKulv
69.0,69.0,74,79,,"Sannsynligvis vandringshinder lengre opp, fin bekk ned mot sjøen. ",Nei,0,0,10.0,Kystveien ,Usikker,"489 122,572","6 481 331,824",79.0,"Sannsynligvis ubetydelig for fisk, går nytt før oppstrøms under meny osv. ",10.0,200.0,,15.0,Lav,Lav,Kystveien ,0.0,"489 149,849","6 481 336,163",Partiell,Usikker,ikke VF,0,,,019.1210,84684124,27987,,,,,,,,84684124.0,KV55264 S1D1 m51,Vann,1200.0,,,1200.0,Nei,6.0,Betong,,Ja,POINT Z (139494.682 6497925.035 4.172),Enkel bilveg,,Arendal,Sirkulær,I bekk/elv,StikkKulv
54.0,54.0,59,64,,"Fint habitat nedstrøms, ikke vandringshinder. ",Nei,0,0,15.0,Mandal Daleveien Årekjerrsbekken,Nei,"411 075,744","6 434 782,025",64.0,"Ikke vandringshinder, fin kulvert. Ikke rør. Ser fisk oppstrøms ",20.0,70.0,700.0,9.0,Middels,Lav,Mandal 5 ,0.0,"411 068,432","6 434 782,883",Ikke hinder,Nei,022-815-R,0,,,022.A3Z,1021363380,dubl,,,Mandalselva - Øyslebø til Mandal bekkefelt,,,,,1021363380.0,FV4226 S1D1 m2406,Vann,1200.0,,,1200.0,,7.7,Betong,,Ja,POINT Z (57423.737 6458444.08 1.723),Enkel bilveg,,Lindesnes,Sirkulær,I bekk/elv,StikkKulv
155.0,155.0,160,164,,"Fin kulvert, bekk kunne hatt noe gytegrus",Nei,0,0,2.0,Høvåg ,Nei,"455 024,872","6 444 555,492",164.0,tørr men fin og naturlig ish ,3.0,75.0,750.0,3.0,Lav,Lav,0,0.0,"454 999,362","6 444 575,741",Ikke hinder,Nei,020-280-R,0,,,020.32,84431890,dubl,,,"Bliksfjorden - Røynevardsfjorden, bekkefelt",,,,,84431890.0,FV3644 S1D1 m3275,Vann,,700.0,900.0,700.0,Nei,2.0,Naturstein,,Ja,POINT Z (102162.465 6464278.258 1.967),Enkel bilveg,,Lillesand,Rektangulær,I bekk/elv,StikkKulv
308.0,308.0,313,310,,Kommer nytt rør med 20-40 stigning inne i kulvert. Usikker på om dette er fiskehabitat uansett. Dette er mulig hinder ,Nei,0,0,15.0,Birkenes ,Usikker,"457 267,204","6 467 129,193",310.0,fin,5.0,80.0,800.0,40.0,Lav,Lav,0,0.0,"457 304,458","6 467 124,062",Absolutt,Usikker,020-356-R,0,,,020.B2Z,84451092,dubl,,,Tovdalselva Herefossfjorden - Flakksvatn bekkefelt,,,,,84451092.0,FV3744 S1D1 m2283,Vann,300.0,,,300.0,,,Plast,,,POINT Z (106417.425 6486601.276 158.935),Enkel bilveg,,Birkenes,,,StikkKulv
608.0,818.0,,516,,,,,,,,,,,516.0,"Grei bekk oppstrøms. Kan ikke se gjennom kulvert, og er litt usikker på lengde på denne. Ser ikke ut som hinder oppstrøms. ",15.0,80.0,800.0,50.0,Middels,Høy,Mandal ,0.0,"422 928,532","6 435 137,609",Partiell,0,022-792-R,0,,,022.226,86109076,dubl,,,Kumlefjorden bekkfelt,,,,,86109076.0,FV3972 S2D1 m3849,Vann,300.0,,,300.0,,6.0,Betong,,,POINT Z (69267.06 6457645.584 6.684),Enkel bilveg,,Kristiansand,Sirkulær,,StikkKulv
228.0,228.0,233,234,,"Veldig mye slam og sediment i bekk, ingen vannføring. Mulig noe fisk kan passere ved veldig gode forhold, ellers hinder. ",Nei,30,0,15.0,Lagveien (bekk renner ned til Svinebutjern),Ja,"505 281,395","6 501 154,358",234.0,"meget tørr, rør litt hevet over terreng",0.0,60.0,600.0,17.0,Lav,Lav,0,0.0,"505 318,145","6 501 184,876",Absolutt,Ja,Ikke VF,0,,,018.5Z,1014363602,928254526,,,,,,,,1014363602.0,FV411 S2D1 m4841,"Voll, vanngjennomløp",600.0,,,600.0,,21.46,Plast,,,POINT Z (157367.795 6516281.619 40.697),Enkel bilveg,,Tvedestrand,Sirkulær,I skråning/terreng,StikkKulv
269.0,269.0,274,273,,Noe usikker på vandring på grunn av lengde og vannføring. Men bør gå fint ,Nei,0,0,10.0,Søgne ,Usikker,"425 628,234","6 437 885,983",273.0,"gjengrodd og stillestående, masse slirekne og gyvel, eller ok, kulvert noe langt nede under vann",40.0,80.0,800.0,100.0,Middels,Lav,0,0.0,"425 542,741","6 437 919,428",Partiell,Usikker,022-723-R,0,,,022.221,86108869,-928254733,,,Hundsøyfjorden bekkefelt,,,,,86108869.0,FV3972 S3D1 m4378,Vann,400.0,,,400.0,,10.0,Betong,,,POINT Z (72238.826 6460252.01 20.27),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
514.0,514.0,519,515,,"Grei bekk nedstrøms. Denne vil nok ikke være hinder for anadrom fisk. Men kan være problematisk for ål, siden kulvert stikker litt ut over vannflate. ",Nei,30,0,50.0,Åloveien (bekk renner fra Ålotjønna ned til fjord),Ja,"422 998,207","6 435 347,566",515.0,Grei vannføring. Kulvert ser ikke ut som hinder oppstrøms. ,30.0,80.0,800.0,30.0,Middels,Middels,Mandal ,0.0,"423 001,14","6 435 357,403",Absolutt,Ja,022-792-R,0,,,022.226,86109058,189,,,Kumlefjorden bekkfelt,,,,,86109058.0,FV3972 S2D1 m4181,Vann,400.0,,,400.0,,7.0,Betong,,,POINT Z (69376.626 6457958.472 13.211),Enkel bilveg,,Kristiansand,Sirkulær,,StikkKulv
599.0,599.0,605,603,,Umulig å komme trygt ned til,,0,0,0.0,0,Usikker,"405 720,997","6 445 431,638",603.0,0,15.0,80.0,800.0,15.0,Middels,Lav,Merslandsveien,0.0,"405 721,5","6 445 408,949",Partiell,Usikker,023-168-R,0,,,023.A121Z,86187741,78683,,,Audna - Spilling til Melhusfossen bekkefelt,,,,,86187741.0,FV4008 S2D1 m6160,Vann,400.0,,,400.0,,8.0,Plast,,,POINT Z (53039.076 6469536.7 206.766),Enkel bilveg,,Lindesnes,Sirkulær,Kum,StikkKulv
252.0,252.0,257,257,,"Grei kulvert, fint habitat og mye fisk nedstrøms. Ikke hinder ",Nei,0,0,20.0,Kristiansand ,Nei,"426 126,823","6 444 878,741",257.0,"så en 7cm fisk, fin kulvert I plast, 2 rør",10.0,80.0,800.0,10.0,Lav,Lav,0,0.0,"426 122,83","6 444 870,258",Ikke hinder,Nei,022-696-R,0,,,022.2B0,86106677,-81064,nær 86106677,,Trondstadvatnet bekkefelt,,,,,86106677.0,FV3976 S1D1 m6178,Vann,500.0,,,500.0,,10.0,Plast,,,POINT Z (73372.63 6467184.087 79.574),Enkel bilveg,,Kristiansand,Sirkulær,I bekk/elv,StikkKulv
62.0,62.0,67,72,,Mulig denne vil kunne vandres med høyere vannføring. Sannsynligvis delvis hinder ,Nei,0,0,0.0,Mandal 13,Usikker,"412 273,833","6 438 998,286",72.0,tørr og overgrodd,0.0,80.0,800.0,10.0,Lav,Lav,Mandal,0.0,"412 253,811","6 439 006,068",Partiell,Usikker,022-814-R,0,,,022.A6,86189033,82356,,,Mandalselva - Øyslebø til Mandal,,,,,86189033.0,FV4226 S1D1 m7124,Vann,500.0,,,500.0,,11.0,Plast,,,POINT Z (58993.073 6462550.523 4.938),Enkel bilveg,,Lindesnes,Sirkulær,Kum,StikkKulv
294.0,294.0,299,297,,"Veldig slammete bekkeløp, med stillestående vann. Noe bratt på oppsiden Av kulvert. Plus at rør er litt lite, gjør at denne kategoriseres som mulig hinder",Nei,0,0,40.0,Birkenes ,Usikker,"451 302,012","6 460 958,97",297.0,"en del kvist og ekkelt stillestående vann, gammelt betongrør",10.0,80.0,800.0,17.0,Lav,Lav,0,0.0,"451 285,592","6 460 983,778",Partiell,Usikker,020-183-R,0,,,020.A5,84466869,-1722164,,,Topdalselva,,,,,84466869.0,FV3748 S2D1 m1346,Vann,600.0,,,600.0,,32.0,Betong,,,POINT Z (99905.804 6481004.707 21.808),Enkel bilveg,,Birkenes,Sirkulær,Kum,StikkKulv
181.0,181.0,186,189,,"Ikke hinder, leder ut på jorde ",Nei,0,0,0.0,Lillesand ,Nei,"461 516,018","6 454 783,603",189.0,"strømgjerde med sau ved kulvert, god vegetasjon rundt men ser grumsete og slimete ut",20.0,70.0,700.0,25.0,Lav,Lav,0,0.0,"461 492,71","6 454 779,473",Ikke hinder,Nei,ikke VF,0,,,020.2210,84437735,-29134,,,,,,,,84437735.0,FV3664 S1D1 m778,,500.0,,,500.0,,45.0,Betong,,,POINT Z (109542.924 6473912.202 13.168),Enkel bilveg,,Lillesand,,,StikkKulv
117.0,117.0,122,125,,"Ikke egnet for vandring, lite plastrør. Ikke velegnet for vandring. Dårli habitat oppstrøms. ",Nei,20,0,0.0,Lyngør ,Usikker,"509 364,355","6 505 666,444",125.0,tørr og en del fjell,0.0,80.0,800.0,15.0,,0,sørlandet feriesenter,0.0,"509 363,935","6 505 635,873",Partiell,Usikker,Ikke VF,0,,,018.4,268828879,184391144,,,,,,,,268828879.0,FV3438 S1D1 m5729,Vann,300.0,,,300.0,Nei,,Plast,,,POINT Z (161838.99 6520392.432 24.477),Enkel bilveg,,Risør,Sirkulær,Åpen grøft,StikkKulv
284.0,284.0,289,287,,"Kulvert ikke hinder, men er ikke noe serlig bekk nedstrøms, veldig mye vegetasjon",Nei,0,0,0.0,Arendal ,Usikker,"497 157,802","6 490 190,716",287.0,"Gammel steinkulvert, ikke hinder. Men bekk helt tør ",0.0,80.0,800.0,10.0,Lav,Lav,Arendal ,0.0,"497 191,615","6 490 204,259",Partiell,Usikker,018-172-R,0,,,018.712,84679381,-184149498,,,"Flostadøysund, bekkefelt",,,,,84679381.0,FV410 S3D1 m10035,Vann,600.0,,,600.0,Nei,11.0,Betong,,,POINT Z (148290.391 6506052.097 28.308),Enkel bilveg,,Arendal,Sirkulær,,StikkKulv
